Player Name,Club Name,Country,Position,PostShotExpectedGoals/90min,90s,GoalsAgainst,PKAgainst,FKGoalsAgainst,CornerKickGoalsAgainst,OwnGoalsScoredAgainst,PostShotExpectedGoals,PostShotExpectedGoals/ShotOnTarget,PostShotExpectedGoals/90min,90s,LongPassesCompleted,LongPassesAttempted,LongPassesCompleted%,ShortPassesAttempted,ThrowsAttempted,Launch%,AveragePassLength,GKAttempted,/90,Cmp,CrossesStopped,CrossesStopped%,DefenseOutsidePenalyArea,DefenseOutsidePenalyArea/90min,AvgDistanceofDefenseOutsidePenalyArea,MatchesPlayed,MatchesStarted,Minutes,90s(MinutesPlayed/90s),GoalsAgainst,GoalsAgainst/90,ShotsOnTargetAgainst,Saves,Save%,Wins,Draws,Losses,CleanSheats,CleanSheats%,PKAttempted,PKAllowed,PKSaved,PKMissed,PKSave%
Yassine Bounou,Sevilla,MAR,GK,32,2,3,0,0,0,0,1.1,0.37,-0.9,-0.88,6,16,37.5,24,4,41.7,36.1,7,85.7,57.4,0,0,0,0,,2,2,180,2,3,1.5,10,7,70,0,1,1,0,0,0,0,0,0,
Alberto López,Sevilla,ESP,GK,19,1,1,0,,,,,,,,,,,,,,,,,,,,,,,1,1,90,1,1,1,3,2,66.7,1,0,0,0,0,0,0,0,0,
Vicente Guaita,Celta Vigo,ESP,GK,36,26.7,39,4,0,5,2,39.7,0.31,2.7,0.1,137,356,38.5,589,134,39.4,35.5,213,58.2,45.3,23,5.5,27,1.01,13.3,27,26,"2,403",26.7,39,1.46,120,83,70.8,8,7,11,6,23.1,5,4,0,1,0
Iván Villar,Celta Vigo,ESP,GK,26,15.3,23,3,0,2,1,16.3,0.31,-0.7,-0.07,39,138,28.3,223,48,35.4,34.4,98,60.2,45.7,5,3.7,9,0.8,13.2,16,16,"1,374",15.3,23,1.51,57,35,64.9,5,4,7,1,6.3,4,3,1,0,25
Agustín Marchesín,Celta Vigo,ARG,GK,35,1,1,0,,,,,,,,,,,,,,,,,,,,,,,1,1,90,1,1,1,3,2,66.7,1,0,0,0,0,0,0,0,0,
Predrag Rajković,Mallorca,SRB,GK,27,36,43,4,1,4,1,41.8,0.27,-0.2,-0.01,322,795,40.5,946,117,60.9,44.7,300,73,54.3,33,6.6,28,0.78,13.7,36,36,"3,240",36,43,1.19,138,95,71.7,7,15,14,9,25,5,4,1,0,20
Dominik Greif,Mallorca,SVK,GK,26,9,4,1,0,0,0,0.7,0.16,0.7,0.66,10,18,55.6,23,3,52.2,42,9,66.7,54.2,0,0,1,1,23,8,8,810,9,4,0.44,32,30,90.6,4,4,0,5,62.5,2,1,1,0,50
Iván Cuéllar,Mallorca,ESP,GK,39,2,1,0,0,0,0,1.2,0.19,0.2,0.17,1,11,9.1,32,8,31.3,33,3,33.3,35.7,1,16.7,0,0,7,2,2,180,2,1,0.5,9,8,88.9,2,0,0,1,50,0,0,0,0,
Álvaro Vallés,Las Palmas,ESP,GK,26,36.3,44,5,0,5,3,48.7,0.28,7.7,0.21,137,447,30.6,1762,194,21.7,27.3,151,42.4,39.1,29,5.6,96,2.65,17.8,37,37,"3,263",36.3,44,1.21,152,108,74.3,10,10,17,8,21.6,9,5,3,1,37.5
Aarón Escandell,Las Palmas,ESP,GK,27,5,6,1,0,0,0,2.5,0.62,-0.5,-0.3,9,26,34.6,73,10,27.4,30.4,12,50,41.3,1,4.2,4,2.35,18,5,4,453,5,6,1.19,16,11,68.8,2,0,2,1,25,1,1,0,0,0
Mark Flekken,Brentford,NED,GK,30,37.5,64,2,0,6,0,55.4,0.31,-7.6,-0.21,242,647,37.4,1288,131,36.6,34.5,289,60.9,46.7,44,7.7,37,1.01,12.6,38,38,"3,375",37.5,64,1.71,179,115,65.4,10,9,19,7,18.4,2,2,0,0,0
Thomas Strakosha,Brentford,ALB,GK,28,3.8,6,1,0,0,0,1.5,0.2,-0.5,-0.3,12,30,40,56,5,41.1,35.8,15,46.7,39.9,2,5.4,1,0.67,10,4,3,345,3.8,6,1.57,8,6,75,0,1,2,0,0,1,1,0,0,0
Ellery Balcombe,Brentford,ENG,GK,23,1.3,1,0,,,,,,,,,,,,,,,,,,,,,,,1,1,120,1.3,1,0.75,2,1,50,0,1,0,0,0,0,0,0,0,
Robin Zentner,Mainz 05,GER,GK,28,32,51,5,1,2,1,49.2,0.37,2.2,0.07,180,512,35.2,862,146,47.3,38.5,177,58.8,46.4,42,10.7,48,1.6,16,32,32,"2,880",32,51,1.59,133,85,65.4,8,12,12,8,25,6,5,0,1,0
Daniel Batz,Mainz 05,GER,GK,32,4,3,0,1,0,0,2.4,0.15,-0.6,-0.15,18,58,31,132,14,38.6,34.7,21,33.3,34.8,4,10.5,2,0.5,11.3,4,4,360,4,3,0.75,17,14,82.4,0,2,2,1,25,0,0,0,0,
Moritz Nicolas,Gladbach,GER,GK,25,30.3,52,4,0,6,0,45.1,0.26,-3.9,-0.14,112,315,35.6,888,140,26,29.7,161,52.2,42.5,21,4.6,22,0.81,13.2,30,30,"2,730",30.3,52,1.71,166,114,71.1,8,11,11,5,16.7,4,4,0,0,0
Jonas Omlin,Gladbach,SUI,GK,29,8,18,2,0,1,0,13.3,0.24,-4.7,-0.67,32,90,35.6,242,37,30.2,32.3,34,50,41.8,7,9,12,1.71,15.3,8,8,720,8,18,2.25,49,31,67.3,2,2,4,1,12.5,2,2,0,0,0
Lorenzo Montipò,Hellas Verona,ITA,GK,27,38,50,3,0,6,1,40.7,0.26,-7.3,-0.2,323,763,42.3,960,109,54.5,41.1,305,78.7,56.4,22,4.5,43,1.16,15.3,38,38,"3,420",38,50,1.32,156,108,69.9,10,10,18,8,21.1,3,3,0,0,0
Simone Perilli,Hellas Verona,ITA,GK,28,2,4,0,0,0,0,2.7,0.29,0.7,0.75,8,28,28.6,32,2,75,49.5,5,80,62,0,0,2,2,18,2,2,180,2,4,2,13,9,69.2,0,1,1,0,0,0,0,0,0,
Stole Dimitrievski,Rayo Vallecano,MKD,GK,29,37,47,1,1,5,2,46.9,0.31,1.9,0.05,168,598,28.1,928,171,47.1,39.4,267,60.3,48.4,23,4.3,38,1.03,14.6,37,37,"3,330",37,47,1.27,150,104,69.3,8,14,15,13,35.1,2,1,1,0,50
Cárdenas,Rayo Vallecano,ESP,GK,26,5.3,4,1,0,0,0,0.9,0.93,-0.1,-0.07,2,15,13.3,36,5,36.1,36.3,4,50,53.5,0,0,2,2,17,5,5,480,5.3,4,0.75,15,12,80,3,0,2,3,60,1,1,0,0,0
Wladimiro Falcone,Lecce,ITA,GK,28,39,54,5,1,7,1,53.2,0.28,0.2,0.01,152,489,31.1,893,159,42.6,34.9,248,44,35.2,20,3.8,20,0.53,11,39,39,"3,510",39,54,1.38,176,122,72.2,9,14,16,8,20.5,6,5,1,0,16.7
Federico Brancolini,Lecce,ITA,GK,22,1,4,1,,,,,,,,,,,,,,,,,,,,,,,1,1,90,1,4,4,5,2,40,0,0,1,0,0,1,1,0,0,0
Maduka Okoye,Udinese,NGA,GK,23,22.3,27,3,2,3,1,23.9,0.24,-0.1,0,99,263,37.6,286,45,55.9,41.7,161,64,49,7,1.9,2,0.1,8.7,22,22,"2,010",22.3,27,1.21,99,73,75.8,5,8,9,5,22.7,3,3,0,0,0
Marco Silvestri,Udinese,ITA,GK,32,18,29,6,0,2,0,25.7,0.29,-2.3,-0.14,57,168,33.9,345,68,33.6,32.3,105,49.5,42.1,5,1.8,7,0.41,13.1,18,18,"1,620",18,29,1.61,71,42,67.6,2,11,5,4,22.2,6,6,0,0,0
Alban Lafont,Nantes,FRA,GK,24,29.7,45,8,0,2,0,42.4,0.31,-0.6,-0.02,123,388,31.7,839,145,34.2,34,166,60.8,46.9,33,8.6,33,1.19,13,30,30,"2,676",29.7,45,1.51,123,78,69.9,8,4,18,7,23.3,8,8,0,0,0
Rémy Descamps,Nantes,FRA,GK,27,6,11,1,0,0,0,12.5,0.35,1.5,0.26,51,125,40.8,141,28,51.1,40.3,71,74.6,49.8,8,6.9,0,0,7.8,6,6,540,6,11,1.83,37,26,73,2,2,2,1,16.7,2,1,0,1,0
Denis Petrić,Nantes,SRB,GK,35,0.3,1,0,0,1,0,0.3,0.28,-0.7,-2.71,1,2,50,7,2,28.6,30.7,0,,,0,0,0,0,,1,0,24,0.3,1,3.75,1,0,0,0,0,0,0,,0,0,0,0,
Frederik Rønnow,Union Berlin,DEN,GK,30,41,67,5,2,10,1,62.2,0.29,-2.8,-0.07,228,614,37.1,1250,205,36.2,33.9,262,61.5,46.8,61,9.3,38,0.97,12.1,41,41,"3,690",41,67,1.63,199,130,68.8,10,8,23,8,19.5,8,5,3,0,37.5
Alexander Schwolow,Union Berlin,GER,GK,31,1,2,0,0,0,0,1.2,0.2,-0.8,-0.81,4,10,40,28,4,32.1,34.1,8,12.5,28.4,0,0,0,0,5,1,1,90,1,2,2,6,4,66.7,0,0,1,0,0,0,0,0,0,
Manuel Riemann,Bochum,GER,GK,34,34.3,72,9,0,9,3,59.6,0.27,-7.4,-0.22,430,1041,41.3,1498,89,61,42.5,208,61.1,46.9,35,6.9,104,3.15,19.8,34,34,"3,090",34.3,72,2.1,187,116,66.3,7,13,14,4,11.8,11,9,2,0,18.2
Andreas Luthe,Bochum,GER,GK,36,1,4,0,0,0,1,2.7,0.68,-0.3,-0.3,20,43,46.5,42,2,85.7,51.3,7,100,61.1,0,0,0,0,7.7,1,1,90,1,4,4,4,1,0,0,0,1,0,0,0,0,0,0,
Elia Caprile,Empoli,ITA,GK,21,24,29,4,0,5,0,27.6,0.22,0.6,0.02,117,350,33.4,657,137,40.3,36.8,159,53.5,45.1,31,7.9,20,0.87,13.3,24,24,"2,160",24,29,1.21,108,79,76.9,6,6,12,5,20.8,6,4,2,0,33.3
Etrit Berisha,Empoli,ALB,GK,34,14,25,2,0,5,1,20.7,0.24,-3.3,-0.24,44,184,23.9,400,75,34.8,33,90,50,40.8,11,4.7,10,0.71,12.4,14,14,"1,260",14,25,1.79,74,49,68.9,3,3,8,4,28.6,3,2,1,0,33.3
Samuele Perisan,Empoli,ITA,GK,25,1,2,0,0,0,0,0.7,0.14,-1.3,-1.32,1,8,12.5,22,8,27.3,26.3,12,16.7,29.6,0,0,1,1,21,1,1,90,1,2,2,5,3,60,0,0,1,0,0,0,0,0,0,
Simone Scuffet,Cagliari,ITA,GK,27,31,55,3,3,9,2,45.1,0.33,-7.9,-0.25,161,452,35.6,684,106,43.3,37.1,243,64.2,46.9,22,4.6,20,0.65,12.1,31,31,"2,789",31,55,1.77,129,76,59.7,8,10,13,3,9.7,3,3,0,0,0
Boris Radunović,Cagliari,SRB,GK,27,10.7,18,0,0,1,1,10.1,0.38,-0.9,-0.13,41,91,45.1,156,31,35.9,37,66,53,43.8,6,6.1,4,0.57,11.2,10,10,960,10.7,18,1.69,41,24,56.1,2,2,6,2,20,1,0,0,1,
Simone Aresti,Cagliari,ITA,GK,37,0,1,1,0,0,0,1,0,0,-1.21,0,1,0,1,0,100,64,0,,,0,0,0,0,,1,0,1,0,1,90,1,0,100,0,0,0,0,,1,1,0,0,0
Arthur Desmas,Le Havre,FRA,GK,29,33,43,1,0,5,2,47,0.3,6,0.18,155,454,34.1,719,135,46.9,37.1,222,52.7,39.1,32,6.8,24,0.73,12.5,33,33,"2,970",33,43,1.3,153,111,72.5,7,11,15,7,21.2,3,1,1,1,50
Mathieu Gorgelin,Le Havre,FRA,GK,32,3,5,1,0,0,0,2.9,0.39,0.9,0.92,3,9,33.3,17,0,47.1,33.1,2,50,32.5,0,0,1,1,14.5,3,3,270,3,5,1.67,15,10,73.3,1,0,2,1,33.3,1,1,0,0,0
Mohamed Koné,Le Havre,CIV,GK,21,1,1,0,,,,,,,,,,,,,,,,,,,,,,,1,1,90,1,1,1,2,1,50,1,0,0,0,0,0,0,0,0,
Stefano Turati,Frosinone,ITA,GK,21,31.5,58,5,0,10,1,47.5,0.28,-9.5,-0.31,72,316,22.8,919,147,27.3,29.2,144,45.1,38.8,18,4.4,19,0.62,13.7,32,32,"2,835",31.5,58,1.84,152,94,65.1,7,9,16,5,15.6,7,5,1,1,16.7
Michele Cerofolini,Frosinone,ITA,GK,24,10.8,16,1,0,1,1,5.9,0.22,-4.1,-0.55,18,100,18,171,28,47.4,37.2,38,50,42.8,4,3.2,7,0.93,14.3,11,10,975,10.8,16,1.48,50,36,70,4,2,4,4,40,2,1,0,1,0
Jeremías Ledesma,Cádiz,ARG,GK,30,33.9,47,2,0,6,0,46.4,0.3,-0.6,-0.02,313,785,39.9,897,115,60.4,44,284,85.6,62.1,53,10.1,45,1.33,12.9,34,34,"3,048",33.9,47,1.39,151,104,70.2,6,12,16,9,26.5,2,2,0,0,0
David Gil,Cádiz,ESP,GK,29,4.1,8,0,0,0,1,5.3,0.26,-1.7,-0.4,51,125,40.8,104,8,76.9,49.3,48,93.8,63.5,7,7.7,0,0,7,5,4,372,4.1,8,1.94,24,17,66.7,0,3,1,1,25,0,0,0,0,
Victor Wehbi,Cádiz,BRA,GK,20,1,2,0,,,,,,,,,,,,,,,,,,,,,,,1,1,90,1,2,2,6,4,66.7,0,0,1,0,0,0,0,0,0,
Alexandre Oukidja,Metz,ALG,GK,35,34.2,58,6,1,7,0,52.3,0.26,-4.7,-0.14,209,666,31.4,708,125,57.3,42.4,292,89,59,46,8.1,22,0.66,10.3,35,35,"3,077",34.2,58,1.7,188,130,72.3,8,6,21,6,17.1,6,6,0,0,0
Guillaume Dietsch,Metz,FRA,GK,22,0.8,1,0,0,0,0,0.8,0.31,-0.2,-0.21,6,16,37.5,19,3,47.4,36.4,7,100,63,1,7.1,0,0,3,1,0,73,0.8,1,1.23,3,2,66.7,0,0,0,0,,0,0,0,0,
Yvon Mvogo,Lorient,SUI,GK,29,34,66,8,1,8,1,63.1,0.27,-1.9,-0.06,139,378,36.8,921,162,29.1,31.4,228,48.2,38.8,24,4.1,13,0.38,8.9,34,34,"3,060",34,66,1.94,207,142,72,7,8,19,4,11.8,8,8,0,0,0
Alfred Gomis,Lorient,SEN,GK,29,1,2,1,,,,,,,,,,,,,,,,,,,,,,,1,1,90,1,2,2,4,3,75,0,0,1,0,0,1,1,0,0,0
Matt Turner,Nott'ham Forest,USA,GK,29,21.3,31,2,1,4,0,22.1,0.26,-5.9,-0.35,126,280,45,436,99,42.7,35.7,136,69.1,47,30,10.1,18,1.06,13.3,21,21,"1,920",21.3,31,1.45,97,66,70.1,4,7,10,3,14.3,2,2,0,0,0
Matz Sels,Nott'ham Forest,BEL,GK,31,16,27,1,0,9,2,17.2,0.27,-7.8,-0.49,75,179,41.9,283,51,45.9,36.6,93,52.7,41.4,11,4.9,4,0.25,9.4,16,16,"1,440",16,27,1.69,61,36,57.4,4,4,8,1,6.3,1,1,0,0,0
Odisseas Vlachodimos,Nott'ham Forest,GRE,GK,29,7.3,16,1,0,2,0,7.9,0.31,-4.1,-0.83,28,60,46.7,130,21,25.4,29.6,44,61.4,44.3,3,3.3,2,0.4,10.3,7,7,660,7.3,16,2.18,27,11,44.4,2,1,4,1,14.3,1,1,0,0,0
Andrea Consigli,Sassuolo,ITA,GK,36,36.3,70,8,1,7,3,51.7,0.28,-13.3,-0.38,172,540,31.9,982,143,42.3,36.9,252,49.6,41.2,23,4.2,22,0.63,11.8,36,36,"3,270",36.3,70,1.93,160,93,61.3,7,8,21,3,8.3,11,8,1,2,11.1
Alessio Cragno,Sassuolo,ITA,GK,29,5.3,10,1,1,1,1,5.1,0.3,-0.9,-0.28,17,45,37.8,78,11,50,37.8,22,27.3,30.5,3,8.1,8,2.67,18.6,5,5,480,5.3,10,1.87,26,17,65.4,1,2,2,1,20,1,1,0,0,0
Marvin Schwäbe,Köln,GER,GK,28,36.3,64,3,0,10,0,62,0.36,2,0.06,135,372,36.3,1148,101,28.4,31.4,149,30.9,34.3,14,2.8,21,0.62,13.4,36,36,"3,270",36.3,64,1.76,177,114,65.5,6,12,18,4,11.1,4,3,1,0,25
Mory Diaw,Clermont Foot,SEN,GK,30,30,54,6,0,5,1,57.1,0.28,4.1,0.14,206,558,36.9,1065,129,42.8,36.7,176,58,44.5,39,8.9,46,1.53,14.4,30,30,"2,700",30,54,1.8,188,134,74.5,4,8,18,5,16.7,8,6,1,1,14.3
Massamba Ndiaye,Clermont Foot,SEN,GK,21,5,7,1,0,1,0,7.8,0.29,1.8,0.45,20,55,36.4,148,28,29.7,30.9,24,45.8,35.1,7,9.3,3,0.75,10.1,5,5,450,5,7,1.4,27,20,77.8,1,3,1,0,0,1,1,0,0,0
Théo Borne,Clermont Foot,FRA,GK,21,1,3,0,,,,,,,,,,,,,,,,,,,,,,,1,1,90,1,3,3,8,5,62.5,0,0,1,0,0,0,0,0,0,
Thomas Kaminski,Luton Town,BEL,GK,30,37.8,85,4,0,13,4,77.6,0.34,-3.4,-0.09,271,808,33.5,1121,150,52,39.5,341,66,47.5,16,2.9,76,2.01,20.5,38,38,"3,405",37.8,85,2.25,221,140,63.3,6,8,24,2,5.3,4,4,0,0,0
Tim Krul,Luton Town,NED,GK,35,6,11,0,,,,,,,,,,,,,,,,,,,,,,,6,6,540,6,11,1.83,34,23,67.6,3,1,2,1,16.7,0,0,0,0,
James Shea,Luton Town,ENG,GK,32,0.2,0,0,0,0,0,0.1,0.06,0.1,0.75,3,6,50,6,1,83.3,50.8,3,33.3,37.3,0,0,1,6,19,1,0,15,0.2,0,0,2,2,100,0,0,0,0,,0,0,0,0,
James Trafford,Burnley,ENG,GK,20,28,62,5,0,10,2,54.1,0.3,-5.9,-0.21,138,606,22.8,1332,162,33.9,31.3,198,78.3,54.2,30,7.2,43,1.54,15,28,28,"2,520",28,62,2.21,166,106,65.7,3,5,20,2,7.1,5,5,0,0,0
Arijanet Muric,Burnley,KVX,GK,24,14,20,1,0,1,1,21.7,0.26,6.7,0.67,77,219,35.2,547,54,36.4,34.3,33,60.6,45.1,20,14,31,3.1,17.2,14,14,"1,260",14,20,1.43,90,70,78.9,4,4,6,2,14.3,2,1,1,0,50
Luís Maximiano,Almería,POR,GK,24,34,63,4,0,7,0,59.7,0.32,-3.3,-0.1,158,543,29.1,995,146,38.4,35.5,264,61,46.3,25,4.5,38,1.15,14.5,34,34,"3,060",34,63,1.85,177,113,66.7,3,11,20,7,20.6,7,4,1,2,20
Fernando,Almería,ESP,GK,33,4,10,0,0,1,0,8.5,0.37,-1.5,-0.36,22,67,32.8,133,28,39.8,35.6,26,53.8,44,4,5.6,7,1.75,14.5,4,4,360,4,10,2.5,23,13,56.5,1,1,2,0,0,0,0,0,0,
Diego Mariño,Almería,ESP,GK,33,2,3,2,0,0,0,2.1,0.02,0.1,0.05,1,5,20,25,6,20,24.1,2,0,16.5,0,0,2,2,22.7,2,2,180,2,3,1.5,6,3,83.3,0,0,2,0,0,2,2,0,0,0
Augusto Batalla,Granada,ARG,GK,27,17,28,0,0,6,0,22.6,0.27,-5.4,-0.32,127,354,35.9,566,78,45.8,39.4,122,77.9,55.9,23,8.4,18,1.06,14.2,17,17,"1,530",17,28,1.65,86,58,67.4,3,4,10,3,17.6,0,0,0,0,
André Ferreira,Granada,POR,GK,27,14.9,29,3,0,2,1,27.8,0.33,-0.2,-0.01,73,186,39.2,388,88,31.4,32.2,110,58.2,44.3,6,3.1,13,0.87,12.6,15,14,"1,340",14.9,29,1.95,77,49,66.2,0,5,9,0,0,3,3,0,0,0
Raúl Fernández,Granada,ESP,GK,35,3.1,11,0,0,1,1,7.8,0.46,-2.2,-0.71,14,47,29.8,88,10,37.5,35.7,17,82.4,62.1,4,11.1,11,3.54,17.3,4,4,280,3.1,11,3.54,17,7,35.3,1,0,3,0,0,1,0,0,1,
Marc Martínez,Granada,ESP,GK,33,3,11,2,0,3,0,12.1,0.46,1.1,0.37,17,39,43.6,74,9,33.8,33.3,24,58.3,46.3,0,0,10,3.33,23,3,3,270,3,11,3.67,23,12,60.9,0,0,3,0,0,2,2,0,0,0
Adrián López ,Granada,ESP,GK,24,1,0,0,,,,,,,,,,,,,,,,,,,,,,,1,1,90,1,0,0,4,4,100,0,0,1,0,0,0,0,0,0,
Marcel Schuhen,Darmstadt 98,GER,GK,30,32,79,1,2,7,2,68,0.34,-6,-0.19,245,618,39.6,1204,182,36.3,34.8,289,62.6,48.5,24,5.3,51,1.65,16.5,32,32,"2,880",32,79,2.47,203,125,61.6,3,7,22,3,9.4,2,1,1,0,50
Alexander Brunst,Darmstadt 98,GER,GK,28,3,10,0,0,2,0,6.3,0.37,-3.7,-1.25,33,72,45.8,129,13,41.1,36,21,90.5,59.6,3,5.9,9,3,19.1,3,3,270,3,10,3.33,17,7,41.2,0,1,2,0,0,0,0,0,0,
Guillermo Ochoa,Salernitana,MEX,GK,38,21,44,7,0,3,1,37.2,0.27,-5.8,-0.28,85,323,26.3,479,73,46.3,37.5,171,59.1,44.4,9,2.6,11,0.52,13.6,21,21,"1,890",21,44,2.1,115,72,67.8,0,6,15,1,4.8,7,7,0,0,0
Benoît Costil,Salernitana,FRA,GK,36,15,29,3,0,2,1,23.6,0.32,-4.4,-0.34,71,228,31.1,323,45,48,37,104,70.2,51.1,2,0.9,19,1.46,18.2,15,15,"1,350",15,29,1.93,67,39,61.2,4,3,8,3,20,3,3,0,0,0
Vincenzo Fiorillo,Salernitana,ITA,GK,33,5,14,0,0,4,0,7.3,0.28,-0.7,-0.18,27,96,28.1,72,9,68.1,44.9,54,87,56.6,4,5.2,1,0.25,7.6,5,5,450,5,14,2.8,39,25,64.1,0,2,3,0,0,0,0,0,0,
Wes Foderingham,Sheffield Utd,ENG,GK,32,30.4,79,5,0,8,5,70.5,0.33,-3.5,-0.12,206,619,33.3,782,101,54.6,40.2,262,73.3,52.3,28,6,42,1.43,14.7,31,30,"2,739",30.4,79,2.6,205,131,63.9,4,4,22,2,6.7,6,5,0,1,0
Ivo Grbić,Sheffield Utd,CRO,GK,27,9.6,30,2,0,4,2,14.7,0.25,-8.3,-0.97,65,199,32.7,207,25,57.5,41.2,89,89.9,59.4,11,5.7,14,1.63,14.4,10,10,861,9.6,30,3.14,63,37,55.6,0,3,7,0,0,3,2,0,1,0
Adam Davies,Sheffield Utd,WAL,GK,31,1,0,0,,,,,,,,,,,,,,,,,,,,,,,1,1,90,1,0,0,1,1,100,0,1,0,1,100,0,0,0,0,
